"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"258","Kemba Walker","Dal","G","32.9","9","16","22.1","6.5","21","0.81","29","0.586","28","0.25","0.482","0.543","8","1.8","2.1","0.2","0.2","0.4","9.8","10.1","11.9","7.8","118.3","113"
"259","Kenrich Williams","Okc","G-F","28.3","53","22.8","13.7","8.5","39","0.436","212","0.608","134","0.373","0.59","0.585","8","4.9","2","0.8","0.3","0.6","12.9","10","14.9","7.5","126.5","107.7"
"260","Jevon Carter","Mil","G","27.5","74","22.1","15.4","12.7","36","0.806","210","0.438","297","0.414","0.545","0.557","7.9","2.6","2.4","0.9","0.4","1","10.4","10.2","12.8","6.6","112.1","105.2"
"261","Chris Duarte","Ind","G","25.8","46","19.5","19","11","72","0.847","159","0.428","174","0.316","0.452","0.496","7.9","2.5","1.4","0.5","0.2","0.9","10.4","9.3","11.8","6.2","100.7","115.2"
"262","Matisse Thybulle","Por","G-F","26.1","18","28","11.6","10","10","0.5","43","0.581","74","0.392","0.585","0.585","7.9","3.6","1.4","1.8","0.8","0.7","11.5","9.3","12.9","4.9","118","111.6"
"263","Duane Washington Jr.","Pho","G","23","31","12.7","32.5","11.7","24","0.667","145","0.372","111","0.36","0.445","0.458","7.9","1.2","2","0.2","0.1","1.1","9","9.9","11.1","8.4","93.5","114.1"
"264","Jeff Green","Den","F","36.6","50","19.2","17.1","12.6","96","0.729","205","0.585","87","0.299","0.545","0.58","7.8","2.5","1.1","0.3","0.3","0.8","10.2","8.9","11.4","5.8","113.4","109.5"
"265","Luke Kennard","Lac","G","26.8","35","20.7","15.1","12.4","20","0.95","79","0.494","132","0.447","0.604","0.623","7.8","2.4","1.1","0.5","0.1","0.9","10.2","8.9","11.3","5.3","114","111.6"
"266","Trey Lyles","Sac","F","27.4","66","16.7","18.2","13.5","118","0.814","149","0.617","209","0.373","0.584","0.627","7.8","3.9","0.9","0.3","0.4","0.8","11.7","8.7","12.6","7.2","120.4","110.9"
"267","Tre Mann","Okc","G","22.1","62","17.8","20.9","10.7","50","0.74","225","0.467","248","0.315","0.469","0.486","7.8","2.3","1.7","0.6","0.2","0.9","10","9.5","11.7","7","99.8","110.1"
"268","Will Barton","Was","G","32.2","40","19.6","19.5","13.7","45","0.778","147","0.395","137","0.38","0.479","0.505","7.7","2.8","2.4","0.4","0.3","1.1","10.4","10.1","12.8","7.6","101.8","114.4"
"269","Joe Harris","Bro","G-F","31.6","68","21.3","14.1","8.7","24","0.625","104","0.548","307","0.427","0.617","0.619","7.7","2.3","1.4","0.5","0.2","0.6","10","9.1","11.4","5.5","118.7","110.4"
"270","Kevin Love","Mia","F-C","34.5","15","21.2","17.4","15.5","20","0.85","27","0.63","71","0.296","0.495","0.534","7.6","6","2","0.4","0.2","1.2","13.6","9.6","15.6","8.5","107.2","105.5"
"271","Mason Plumlee","Lac","F-C","33.1","16","20.5","13.6","27.4","50","0.76","58","0.724","0","0","0.724","0.763","7.6","8.1","1.7","0.6","0.6","1.4","15.8","9.3","17.4","9.2","136.3","101"
"272","Dario Saric","Okc","F","29","16","13.3","21.6","17.9","24","0.875","45","0.667","37","0.351","0.604","0.648","7.5","3.1","0.9","0.3","0","1.1","10.6","8.4","11.5","8.3","115.3","103.7"
"273","Edmond Sumner","Bro","G","27.2","49","14.4","22.1","15","102","0.931","175","0.509","86","0.36","0.519","0.598","7.5","1.5","1.4","0.6","0.2","0.9","9","8.9","10.4","7","113.5","107"
"274","Troy Brown Jr.","Lal","G-F","23.7","69","24.9","12.4","9.9","37","0.892","172","0.517","266","0.376","0.546","0.562","7.4","4.1","1.2","0.8","0.2","0.7","11.5","8.7","12.8","5.3","113","109.9"
"275","Torrey Craig","Pho","F","32.3","71","25.3","12.9","13.5","43","0.721","216","0.491","237","0.392","0.542","0.553","7.4","5.5","1.5","0.6","0.7","1","12.8","8.9","14.4","6.2","114.2","107.9"
"276","Mo Bamba","Orl","C","24.9","40","17","16.3","9.3","51","0.686","106","0.594","108","0.398","0.596","0.613","7.3","4.6","1.1","0.3","1","0.6","11.9","8.3","12.9","7.8","125.4","102.9"
"277","Reggie Bullock","Dal","G-F","32","72","30.8","9.9","7.1","37","0.703","67","0.537","367","0.387","0.574","0.582","7.3","3.7","1.4","0.7","0.2","0.5","11","8.6","12.3","4.4","117.4","112.6"
"278","R.J. Hampton","Det","G","22.1","13","18.1","17.3","16.6","27","0.667","35","0.457","35","0.429","0.55","0.58","7.3","1.9","1","0.6","0.2","1.1","9.2","8.3","10.2","5.3","107.4","115.6"
"279","Mitchell Robinson","Nyk","C-F","25","53","27.3","9.6","12.2","104","0.49","244","0.693","0","0","0.693","0.671","7.3","9.1","0.8","0.9","1.7","0.6","16.4","8.2","17.3","5.5","145","104.8"
"280","Jarred Vanderbilt","Lal","F","24","19","25.2","12.9","18.9","31","0.806","85","0.6","22","0.182","0.533","0.576","7.3","7.4","1.8","1.3","0.3","1.3","14.7","9.1","16.5","7.3","116","103.7"
"281","Willy Hernangomez","Nor","C-F","28.8","36","12.5","23.8","19","104","0.779","155","0.542","11","0.273","0.533","0.609","7.2","4.9","0.9","0.5","0.4","1.1","12.1","8.1","13","10.1","118.7","97.2"
"282","Romeo Langford","San","G-F","23.4","38","20.2","15.2","9.2","49","0.673","182","0.538","54","0.278","0.511","0.532","7.2","2.8","1.2","0.6","0.3","0.6","10","8.4","11.2","5.7","112.8","116.8"
"283","Kevon Looney","Gol","F","27.1","76","23.8","10.8","10.2","146","0.596","358","0.645","1","0","0.643","0.649","7.2","9.1","2.5","0.6","0.6","0.5","16.4","9.7","18.8","9.2","149.1","103.4"
"284","Joe Ingles","Mil","F-G","35.5","40","22.9","12.7","17.6","21","0.857","42","0.571","178","0.41","0.607","0.622","7.1","3","3.2","0.7","0.1","1.2","10.2","10.3","13.4","7.1","120.7","106.7"
"285","Larry Nance Jr.","Nor","F-C","30.2","57","21.2","12.2","11.8","73","0.685","237","0.658","40","0.35","0.639","0.653","7.1","5.6","1.8","0.9","0.6","0.6","12.7","8.9","14.5","7.8","135.1","103.7"
"286","Josh Okogie","Pho","G","24.6","64","17.8","18.3","14.1","162","0.735","188","0.452","171","0.327","0.471","0.531","7.1","3.3","1.4","0.8","0.5","0.9","10.5","8.6","11.9","7.2","113","108.3"
"287","Jeremiah Robinson-Earl","Okc","F","22.4","39","19","14.7","7.4","40","0.825","125","0.56","101","0.337","0.535","0.564","7.1","4.3","1","0.6","0.3","0.5","11.3","8","12.3","6.6","123.9","109.4"
"288","Isaiah Jackson","Ind","F","21.2","56","15.7","17.5","13.8","121","0.653","255","0.6","14","0.143","0.58","0.607","7","4.2","0.8","0.5","1.4","0.8","11.2","7.8","12","7.3","121.9","105.1"
"289","Ty Jerome","Gol","G-F","25.7","44","18.5","15","11","41","0.927","152","0.546","90","0.389","0.56","0.594","7","1.8","3.1","0.5","0.1","0.7","8.8","10.1","11.9","7.3","125.6","112.2"
"290","Anthony Lamb","Gol","F","25.2","56","19.8","13.9","14.2","54","0.759","103","0.65","192","0.375","0.593","0.613","7","3.5","1.6","0.5","0.3","0.9","10.5","8.6","12.1","6.9","119.3","107.4"
"291","Dwight Powell","Dal","F-C","31.7","70","19.7","12.9","19.2","162","0.679","255","0.741","5","0","0.727","0.737","7","4.3","0.9","0.7","0.4","0.9","11.2","7.9","12.1","6.1","142","103.8"
"292","Joshua Primo","San","G","20.3","4","23.4","18.2","29.5","9","0.778","14","0.429","12","0.25","0.404","0.467","7","3.3","4.5","0.3","0.5","2.8","10.3","11.5","14.8","8","90.2","116.1"
"293","Daniel Theis","Ind","F-C","31","7","15.5","20.2","6.4","12","0.417","33","0.576","11","0.182","0.5","0.497","7","3.1","1.3","0.3","0.9","0.4","10.1","8.3","11.4","7.9","108","115.5"
"294","Delon Wright","Was","G","30.9","46","24","12.6","13.8","49","0.898","149","0.557","107","0.346","0.541","0.578","7","3.4","3.8","1.8","0.4","0.9","10.3","10.8","14.2","7.5","127.3","112.2"
"295","Julian Champagnie","San","F","21.7","8","15.1","16","6.5","1","1","13","0.692","30","0.4","0.628","0.633","6.9","2.8","0.3","0","0.5","0.4","9.6","7.1","9.9","4.8","117.8","113.9"
"296","Ben Simmons","Bro","G-F","26.7","42","26.3","14.3","29.2","57","0.439","233","0.571","2","0","0.566","0.559","6.9","6.3","6.1","1.3","0.5","2.3","13.2","13","19.3","9.8","111.2","101.7"
"297","James Wiseman","Gol","C","22","21","12.5","20","12.9","38","0.684","92","0.63","2","0.5","0.633","0.655","6.9","3.5","0.7","0.1","0.3","0.7","10.4","7.6","11","8.2","123.3","101.8"
"298","Ochai Agbaji","Uta","G","22.9","51","19","13.8","8.6","47","0.745","103","0.563","172","0.378","0.565","0.585","6.8","1.9","0.9","0.3","0.2","0.5","8.7","7.7","9.6","4.8","119.8","114.4"
"299","Brandon Boston Jr.","Lac","G","21.3","21","11.7","26.5","9","38","0.763","92","0.424","29","0.414","0.471","0.519","6.8","1.4","0.9","0.4","0","0.6","8.2","7.7","9.1","7","105.9","109.2"
"300","Evan Fournier","Nyk","G-F","30.4","23","18","18.6","11.2","21","0.857","49","0.408","102","0.324","0.46","0.49","6.8","2","1.5","0.6","0.1","0.8","8.8","8.3","10.3","6.1","102.7","106.9"
"301","Luka Garza","Min","C","24.2","26","9","26.7","10.5","52","0.788","73","0.644","38","0.368","0.613","0.661","6.8","2.3","0.7","0.1","0.1","0.5","9.1","7.5","9.8","9.9","132.7","101"
"302","Trendon Watford","Por","F","22.4","57","18.9","15.1","19.3","83","0.735","216","0.597","55","0.4","0.598","0.626","6.8","3.8","2","0.5","0.2","1.1","10.6","8.8","12.6","7.9","118.1","109.2"
"303","Justise Winslow","Por","F-G","27","29","26.8","14.2","17.8","28","0.714","153","0.438","45","0.311","0.444","0.466","6.8","5","3.4","1","0.4","1.5","11.8","10.1","15.1","7.3","104.9","108.6"
"304","Nickeil Alexander-Walker","Min","G","24.6","16","17.8","17.3","6.5","18","0.611","45","0.4","55","0.364","0.48","0.496","6.7","2.3","1.6","0.4","0.3","0.4","8.9","8.3","10.6","6.5","106.3","110.7"
"305","Kendrick Nunn","Lal","G","27.6","39","13.5","23.4","11","21","0.81","125","0.488","126","0.325","0.488","0.503","6.7","1.4","0.9","0.3","0.1","0.8","8.1","7.6","9","6","95.3","111.4"
"306","Jarrell Brantley","Uta","F","26.8","3","9.8","21.1","13.9","2","1","4","0.75","8","0.5","0.75","0.776","6.7","1.7","1","0","0.7","0.7","8.3","7.7","9.3","9.2","137.6","110.9"
"307","Terence Davis","Sac","G","25.9","58","13.1","21.5","12.9","39","0.821","108","0.546","209","0.373","0.555","0.575","6.6","2.3","1.1","0.7","0.2","0.8","8.9","7.7","9.9","7.8","107.8","104.3"
"308","Nassir Little","Por","F-G","23.1","51","17.7","15.5","10.2","42","0.714","129","0.543","143","0.385","0.561","0.577","6.6","2.7","0.9","0.3","0.4","0.6","9.2","7.5","10.2","5.7","113.5","114.8"
"309","David Roddy","Mem","F","22","62","17.1","17.1","12.2","65","0.631","177","0.576","183","0.301","0.513","0.528","6.6","2.6","0.7","0.5","0.3","0.8","9.2","7.3","9.9","5.4","103.3","106.8"
"310","Xavier Tillman","Mem","F","24.2","55","18.6","13.7","12.9","81","0.556","247","0.623","15","0.267","0.611","0.613","6.6","4.8","1.5","0.9","0.5","0.7","11.4","8.2","12.9","7.8","127.8","104.6"
"311","Goran Dragic","Chi","G","36.9","50","15.6","21","15.6","41","0.659","170","0.482","128","0.352","0.502","0.516","6.5","1.4","2.8","0.2","0.1","1.1","7.9","9.3","10.7","7.5","104.1","110.4"
"312","JaMychal Green","Gol","F-C","32.8","56","14","17.7","17.2","67","0.776","140","0.664","110","0.382","0.624","0.651","6.5","3.6","0.9","0.4","0.4","0.9","10.1","7.4","11","7.9","121.1","103.6"
"313","Jock Landale","Pho","C","27.4","65","14.1","19.1","15.3","102","0.765","228","0.623","82","0.244","0.555","0.595","6.5","4","1","0.2","0.5","0.9","10.5","7.4","11.4","8.4","119.7","103.1"
"314","Patrick Beverley","Lal","G","34.7","45","26.9","10.7","14.8","50","0.78","83","0.506","158","0.348","0.517","0.548","6.4","3.1","2.6","0.9","0.6","0.9","9.5","9","12.1","5.5","112.4","106.9"
"315","Dorian Finney-Smith","Bro","F","29.9","21","27.8","13.8","13.1","16","0.813","55","0.418","97","0.258","0.398","0.421","6.4","4.9","1.6","0.7","0.5","1.1","11.2","8","12.8","5.3","96.4","110.5"
"316","Cory Joseph","Det","G","31.6","54","18.5","15.3","14.6","67","0.806","148","0.473","133","0.376","0.516","0.554","6.4","1.6","3.4","0.5","0.1","0.9","8","9.7","11.3","7.1","117.9","115.5"
"317","Isaiah Livers","Det","F","24.7","47","22.6","11.9","9.2","33","0.788","73","0.562","183","0.35","0.535","0.554","6.4","2.6","0.8","0.6","0.5","0.6","8.9","7.1","9.7","4.2","110.9","114.4"
"318","Svi Mykhailiuk","Cha","G-F","25.8","13","17.3","15.2","9.6","19","0.632","28","0.357","38","0.447","0.538","0.558","6.4","1.4","1.2","0.4","0.1","0.5","7.8","7.6","9","5.1","112.9","116.6"
"319","Isaac Okoro","Cle","F-G","22.2","76","21.7","12","10.6","103","0.757","183","0.617","171","0.363","0.582","0.614","6.4","2.5","1.1","0.7","0.4","0.6","8.9","7.6","10.1","4.8","123.7","104.5"
"320","Nickeil Alexander-Walker","Uta","G","24.6","36","14.7","18.4","20.9","39","0.692","83","0.578","87","0.402","0.591","0.609","6.3","1.6","2.1","0.7","0.4","1.3","8","8.4","10.1","7.5","111.5","108.7"
"321","Aaron Wiggins","Okc","G-F","24.2","63","18.1","14.4","14","62","0.806","208","0.553","106","0.377","0.557","0.586","6.3","3","1.2","0.5","0.2","0.8","9.4","7.5","10.5","6.3","116","109.8"
"322","Mike Muscala","Okc","F-C","31.7","43","14.5","15.7","6.4","39","0.795","61","0.541","142","0.394","0.576","0.602","6.2","3.1","0.9","0.3","0.4","0.3","9.3","7","10.2","7.1","125","105.2"
"323","Duncan Robinson","Mia","F","28.9","36","16.1","17.7","9.5","25","0.92","38","0.526","162","0.327","0.498","0.526","6.2","1.7","1.1","0.3","0","0.6","7.9","7.3","8.9","5.6","105.5","106"
"324","Nicolas Batum","Lac","G-F","34.3","71","21.7","11.7","12","45","0.689","62","0.565","284","0.391","0.582","0.593","6.1","3.9","1.5","0.7","0.6","0.7","10","7.6","11.5","6.1","120.1","107.5"
"325","Patrick Beverley","Chi","G","34.7","15","28","10.9","14.4","15","0.533","29","0.552","54","0.315","0.5","0.508","6.1","5.9","3.8","0.7","0.7","0.9","12","9.9","15.8","7.4","116.6","103"
"326","Drew Eubanks","Por","F-C","26.1","72","19.8","11.5","17.7","107","0.664","262","0.687","7","0.429","0.686","0.696","6.1","5.2","1.2","0.5","1.2","0.8","11.3","7.3","12.5","6.8","134.7","108.4"
"327","Jordan Goodwin","Was","G","24.4","55","17.2","16.4","14.1","61","0.754","190","0.516","91","0.341","0.514","0.544","6.1","3.1","2.4","0.9","0.4","0.8","9.2","8.5","11.6","8.3","115.6","108.1"
"328","Sam Hauser","Bos","F","25.3","73","15.8","14.4","6.5","17","0.706","53","0.623","294","0.418","0.627","0.631","6.1","2.5","0.8","0.3","0.3","0.3","8.6","6.9","9.4","5.8","123.8","106.7"
"329","Reggie Jackson","Den","G","32.9","10","18.6","19.8","13.5","8","0.75","33","0.333","37","0.297","0.393","0.415","6.1","1.4","3","0.5","0.1","1.1","7.5","9.1","10.5","6.3","93.2","112.5"
"330","Maxi Kleber","Dal","F","31.2","33","25.9","10","11.5","35","0.686","53","0.66","101","0.356","0.578","0.596","6.1","3.8","1.3","0.3","0.9","0.6","9.9","7.4","11.2","4.8","121.5","110.8"
"331","Obi Toppin","Nyk","F","25.1","60","14.3","19","8.8","37","0.784","132","0.553","199","0.322","0.511","0.528","6.1","2.8","0.8","0.3","0.2","0.5","8.9","6.9","9.6","6.7","109","110"
"332","Jae Crowder","Mil","F","32.7","11","18.7","11.2","7.9","11","0.818","13","0.692","33","0.394","0.62","0.649","6","4.2","1.4","0.5","0.4","0.4","10.2","7.4","11.5","7","138.5","105.3"
"333","Andre Drummond","Chi","C","29.6","61","12.8","21.1","22.1","109","0.541","251","0.614","3","0","0.606","0.608","6","6.7","0.5","0.7","0.4","1.2","12.7","6.5","13.2","8.5","114.5","92.6"
"334","Patty Mills","Bro","G","34.6","39","13.6","19.6","11.6","23","0.913","73","0.493","125","0.376","0.538","0.562","6","1.1","1.4","0.4","0.1","0.7","7.1","7.4","8.5","6.2","109.2","115.6"
"335","Jordan Nwora","Mil","F","24.5","38","15.7","17.7","14.7","43","0.86","95","0.379","102","0.392","0.487","0.53","6","3.1","1","0.3","0.2","0.9","9.1","7","10.1","6.8","105.8","108.4"
"336","Jaylin Williams","Okc","F","20.7","43","18.3","14","13.2","47","0.702","114","0.465","97","0.402","0.528","0.552","6","4.8","1.5","0.5","0.3","0.7","10.8","7.4","12.3","7.7","113.2","101.6"
"337","Oshae Brissett","Ind","F-G","24.8","58","16.3","15.4","8.4","111","0.694","136","0.478","137","0.328","0.485","0.531","5.9","3.4","0.6","0.5","0.2","0.4","9.3","6.5","9.9","5.6","112.9","113.3"
"338","Robert Covington","Lac","F","32.3","42","16","16","10.4","36","0.75","84","0.524","122","0.361","0.534","0.557","5.9","3.4","1.2","0.8","0.7","0.6","9.3","7.1","10.5","7.2","114.7","103"
"339","Stanley Johnson","San","F-G","26.8","30","15.6","15.3","21.1","39","0.667","83","0.578","40","0.45","0.61","0.628","5.9","3.2","2.2","0.5","0.2","1.1","9","8.1","11.3","8.9","117.3","111.9"
"340","Kendrick Nunn","Was","G","27.6","24","12.7","21.3","15.3","12","0.917","61","0.525","60","0.367","0.537","0.558","5.9","1.4","1.5","0.5","0","0.9","7.3","7.4","8.8","7.3","106","113.3"
"341","Wenyen Gabriel","Lal","F","26","61","15.4","14.6","14.7","84","0.619","211","0.645","33","0.303","0.619","0.63","5.8","4.3","0.5","0.4","0.5","0.7","10.1","6.3","10.6","6","125.5","101.3"
"342","Dario Saric","Pho","F","29","37","14.4","18.7","16.8","44","0.818","109","0.45","69","0.391","0.503","0.545","5.8","3.8","1.5","0.4","0.1","1","9.6","7.4","11.2","8.9","110.6","102.1"
"343","Yuta Watanabe","Bro","G-F","28.5","52","16.7","12.9","8.6","43","0.721","94","0.564","119","0.454","0.629","0.645","5.8","2.5","0.8","0.5","0.3","0.4","8.3","6.6","9.1","5.4","126.8","110.2"
"344","Charles Bassey","San","C-F","22.4","35","14.5","15.7","23.3","37","0.595","127","0.661","8","0.375","0.656","0.658","5.7","5.5","1.3","0.5","0.9","1.2","11.2","7","12.5","9.5","120.8","105.1"
"345","Alex Caruso","Chi","G","29.1","61","23.9","11.2","21.9","73","0.808","126","0.54","137","0.365","0.544","0.585","5.7","3","3","1.5","0.6","1.2","8.6","8.6","11.6","6.2","114.3","104.1"
"346","Dewayne Dedmon","Mia","C","33.6","30","11.7","21.2","12.8","44","0.727","92","0.576","37","0.297","0.539","0.576","5.7","3.6","0.5","0.2","0.5","0.6","9.3","6.2","9.9","7.4","113.5","94.8"
"347","Simone Fontecchio","Uta","F","27.3","45","13.4","19.9","11.5","40","0.825","90","0.4","149","0.342","0.471","0.503","5.7","1.4","0.8","0.2","0.2","0.7","7.1","6.5","7.9","5.5","102.6","114.5"
"348","R.J. Hampton","Orl","G","22.1","26","13.9","18","15.5","37","0.838","61","0.525","53","0.34","0.518","0.572","5.7","1.5","1.3","0.6","0.2","0.8","7.2","7","8.5","6.4","111.4","111.6"
